week,block,HY,NI,SI
46,shoulder,372.383,2959.367,1986.867
47,offpeak,258.170,2262.091,1752.000
47,peak,388.600,3160.350,2097.800
47,shoulder,361.733,2988.033,2009.467
48,offpeak,253.000,2242.250,1773.591
48,peak,387.800,3125.850,2091.750
48,shoulder,364.700,2970.033,2021.100
49,offpeak,254.023,2264.852,1805.693
49,peak,390.150,3143.300,2130.450
49,shoulder,368.983,2985.983,2075.783
50,offpeak,251.852,2259.477,1754.205
50,peak,383.150,3117.100,2097.400
50,shoulder,357.317,2939.150,1988.417
51,offpeak,245.443,2237.886,1729.443
51,peak,372.750,3084.350,2029.900
51,shoulder,341.467,2868.000,1954.050
52,offpeak,218.042,1986.177,1600.167
52,peak,314.500,2620.708,1809.625
52,shoulder,286.847,2469.639,1756.528
