scenario,week,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Cobb,Lake_Coleridge,Lake_Dunstan,Lake_Hawea,Lake_Karapiro,Lake_Maraetai,Lake_Matahina,Lake_Moawhango,Lake_Ohakuri,Lake_Ohau,Lake_Pukaki,Lake_Rotoaira,Lake_Roxburgh,Lake_Taupo,Lake_Tekapo,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru,Lakes_Manapouri_Te_Anau,Mangahao_head
1932,19,9.2386,3.5835,1.0078,9.6869,24.2171,158.014,8.427,26.9471,34.5184,9.9665,374.4824,8.2233,17.9733,68.1424,65.3504,41.8534,9.0706,45.5206,36.5377,5.3924,151.9877,51.1413,16.9216,1.9037,5.2551,150.5671,13.214
1932,20,13.2504,5.1396,1.4455,12.8044,32.011,138.8396,8.1496,25.7084,52.6174,14.2944,159.7494,3.706,25.7781,61.6741,83.3686,63.4176,13.0095,60.171,32.3571,4.7381,135.2796,46.1741,23.9913,2.7304,6.9464,153.0881,18.9521
1932,21,12.0557,4.6762,1.3152,8.9829,22.4573,115.4179,5.3433,13.18,15.1531,13.0055,336.7447,5.1251,23.4538,53.2364,57.9066,37.0697,11.8365,42.2126,22.8026,3.9388,83.6284,25.9606,17.9846,2.4842,4.8732,144.5203,17.2433
1932,22,11.685,4.5324,1.2747,7.1119,17.7797,110.4166,4.6256,9.9764,8.009,12.6057,303.9047,1.4566,22.7327,52.3779,45.5966,30.9676,11.4726,33.4209,21.5106,3.7681,74.6707,21.832,12.2681,2.4078,3.8582,128.6936,16.7131
1932,23,12.0204,4.6624,1.3113,8.3644,20.911,107.8452,4.718,10.3879,8.009,12.9674,218.8859,6.0226,23.3851,58.727,53.3829,15.6064,11.8018,39.307,27.8509,3.6803,115.3889,38.8124,5.797,2.4769,4.5377,110.7236,17.1928
1932,24,10.7316,4.1626,1.1707,8.3644,20.911,93.3442,4.4187,9.0519,8.009,11.5771,150.0196,6.392,20.8778,60.2537,53.1021,28.9126,10.5365,39.307,29.4614,3.1855,122.8169,41.5014,5.6967,2.2114,4.5377,107.795,15.3494
1932,25,18.7432,7.2701,2.0447,8.0816,20.204,81.7909,4.2781,8.425,8.009,20.22,233.4767,16.955,36.4641,88.052,50.9161,27.4727,18.4024,37.9779,60.2523,2.7912,291.2166,101.764,16.4674,3.8622,4.3843,102.398,26.8085
1932,26,18.4088,7.1404,2.0082,4.9408,12.352,74.9458,5.1573,12.3494,17.7093,19.8592,251.6727,8.6956,35.8135,84.2059,30.8527,35.5883,18.0741,23.2186,57.258,2.5576,251.7574,88.5159,15.2821,3.7933,2.6804,103.1459,26.3301
1932,27,13.6133,5.2803,1.4851,5.1665,12.9163,76.7009,4.1994,8.0729,24.0129,14.6859,277.9324,6.4911,26.4841,56.8064,31.9549,17.9271,13.3658,24.2784,29.8433,2.6175,123.7629,41.9813,8.3194,2.8052,2.8028,91.133,19.4711
1932,28,13.2313,5.1321,1.4434,3.6871,9.2179,32.8227,4.2887,8.4724,24.0131,14.2737,197.4461,7.9211,25.7408,75.3839,22.6277,22.3957,12.9907,17.3267,45.5687,1.1201,198.5461,68.9167,10.7421,2.7264,2.0003,87.1247,18.9247
1932,29,13.45,5.217,1.4673,4.6332,11.583,33.9718,3.965,7.0269,18.6536,14.5096,75.6501,1.4636,26.1663,57.1479,28.3577,12.0076,13.2054,21.772,26.7329,1.1593,109.2459,36.8369,10.2819,2.7715,2.5135,71.7457,19.2375
1932,30,11.4849,4.4547,1.2529,4.585,11.4624,68.0338,4.0573,7.4377,12.8714,12.3897,63.2441,3.1564,22.3433,61.9893,28.1613,16.6246,11.2761,21.5454,31.2956,2.3217,130.7286,44.5286,14.0304,2.3666,2.4873,51.2034,16.4268
1932,31,9.0887,3.5253,0.9915,1.1893,2.9731,90.0309,3.6781,5.746,11.4456,9.8047,143.1721,6.7746,17.6816,50.6096,7.3279,12.069,8.9234,5.5883,20.6247,3.0724,74.4447,25.4574,27.185,1.8728,0.6452,40.6219,12.9996
1932,32,9.9763,3.8696,1.0883,1.7183,4.2959,106.8753,3.6431,5.5903,12.3479,10.7624,92.4299,4.4383,19.4085,50.6486,10.6293,12.2527,9.795,8.075,19.2496,3.6472,65.8331,22.3197,8.373,2.0557,0.9322,40.894,14.2692
1932,33,7.9128,3.0692,0.8632,6.2374,15.5934,89.5486,5.0667,11.9453,25.4923,8.5362,231.1987,10.5561,15.3939,63.3966,38.3693,46.0544,7.7689,29.3117,31.4151,3.056,129.316,44.2837,36.5277,1.6305,3.3838,50.6571,11.3176
1932,34,9.2279,3.5793,1.0067,2.697,6.7426,98.4496,4.2124,8.1316,16.678,9.955,259.1996,5.4149,17.9525,61.6387,16.2546,21.2586,9.0601,12.6737,33.968,3.3597,143.96,49.1637,25.4599,1.9015,1.4631,68.7867,13.1987
1932,35,10.5648,4.0978,1.1525,9.1555,22.8887,110.3002,5.6834,14.6983,27.6746,11.3971,478.795,26.9196,20.5533,68.0116,52.9689,20.5981,10.3727,43.0237,38.1811,3.7641,163.0401,56.0001,16.7106,2.177,4.9669,99.1946,15.1108
1932,36,9.7464,3.7804,1.0632,5.1002,12.7504,119.5407,7.1273,21.1441,40.7824,10.5143,496.5164,10.471,18.9611,61.3747,28.8697,61.0497,9.5692,23.9674,31.3977,4.0795,132.3976,45.0234,11.5133,2.0083,2.7668,119.4987,13.9403
1932,37,10.6055,4.1137,1.157,5.714,14.285,161.2695,6.4776,18.2436,33.0443,11.4411,516.7861,2.0593,20.6326,54.8623,31.218,15.7933,10.4127,26.8511,24.2413,5.5035,95.5146,32.278,7.6166,2.1854,3.0998,103.8554,15.1691
1932,38,11.5006,4.4609,1.2546,5.8372,14.593,164.4495,6.3503,17.6751,33.4714,12.4068,282.4933,3.0976,22.374,61.694,31.501,44.6763,11.2915,27.43,30.6961,5.612,128.9097,43.7487,20.534,2.3698,3.1667,102.5697,16.4494
1932,39,11.2242,4.3536,1.2245,5.8372,14.593,135.8067,5.4427,13.6236,25.5827,12.1085,170.5887,8.6913,21.8361,68.5259,31.438,28.8976,11.0201,27.43,38.1423,4.6346,162.8647,55.9374,20.3866,2.3129,3.1667,101.1059,16.054
1932,40,11.6509,4.5191,1.271,5.8372,14.593,147.6167,6.4506,18.124,33.6743,12.5688,396.3137,6.0926,22.6662,61.694,31.371,20.3717,11.439,27.43,31.5777,5.0376,133.2483,45.3346,26.3049,2.4008,3.1667,103.7379,16.6643
1932,41,11.1457,4.3232,1.2159,25.111,62.7776,128.3261,9.204,30.4153,131.3521,12.0238,683.1104,10.454,21.6834,67.4499,134.6801,79.241,10.943,118.0029,36.4539,4.3793,155.473,53.2713,12.5171,2.2967,13.6227,254.8361,15.9417
1932,42,10.4542,4.0549,1.1405,17.3112,43.278,163.7925,11.6626,41.392,67.2116,11.2778,321.2981,9.4926,20.3381,70.1046,93.4914,73.1129,10.2641,81.35,42.6101,5.5896,183.2847,63.2254,11.3811,2.1542,9.3913,280.0879,14.9526
1932,43,12.6547,4.9085,1.3805,12.1569,30.3923,192.4273,14.4376,53.7791,63.0623,13.6518,205.6216,10.1803,24.6192,76.7123,66.9626,81.2394,12.4247,57.1283,52.0401,6.5668,228.9833,79.8123,16.6424,2.6076,6.5951,240.0601,18.1001
1932,44,12.6119,4.8919,1.3758,14.1108,35.277,199.6246,13.7829,50.856,57.4051,13.6056,337.0464,8.5811,24.5359,70.7036,79.179,61.2089,12.3826,66.31,41.7004,6.8124,178.9109,61.6774,10.2277,2.5988,7.6551,206.8964,18.0389
1932,45,10.6871,4.1453,1.1659,16.8827,42.2067,204.4717,11.4329,40.3649,58.0689,11.5291,542.207,10.1984,20.7912,64.481,104.823,77.6376,10.4928,79.3357,35.4447,6.9778,150.5721,51.558,4.8124,2.2022,9.1589,198.4243,15.2858
1932,46,9.9387,3.855,1.0842,13.5969,33.9923,195.3503,8.515,27.3391,50.0899,10.7218,300.0714,5.9421,19.3353,64.2187,103.4417,51.545,9.758,63.8954,33.6107,6.6666,142.4276,48.6304,4.7814,2.048,7.3763,181.0173,14.2154
1932,47,7.2344,2.8061,0.7892,39.8851,99.7129,206.516,9.1587,30.2139,72.354,7.8044,802.923,12.9436,14.0742,51.2129,223.8914,72.1603,7.1029,187.4301,22.5513,7.0476,85.9213,29.1561,1.1004,1.4907,21.6377,170.0436,10.3474
1932,48,7.2709,2.8202,0.7932,21.4286,53.5716,304.282,9.0939,29.9236,163.0917,7.8438,742.97,7.4486,14.1452,52.3011,234.7697,194.485,7.1387,100.6983,20.401,10.384,71.9604,23.98,2.0019,1.4982,11.625,315.2211,10.3996
